name	n_train	n_test	seq_length	total_points
UWaveGestureLibraryAll	896	3582	945	4231710
HandOutlines	1000	370	2709	3711330
NonInvasiveFatalECGThorax1	1800	1965	750	2823750
NonInvasiveFatalECGThorax2	1800	1965	750	2823750
FordA	3601	1320	500	2460500
CinCECGtorso	40	1380	1639	2327380
FordB	3636	810	500	2223000
Phoneme	214	1896	1024	2160640
InlineSkate	100	550	1882	1223300
ECG5000	500	4500	140	700000
TwoPatterns	1000	4000	128	640000
ShapesAll	600	600	512	614400
InsectWingbeatSound	220	1980	256	563200
LargeKitchenAppliances	375	375	720	540000
RefrigerationDevices	375	375	720	540000
ScreenType	375	375	720	540000
SmallKitchenAppliances	375	375	720	540000
Haptics	155	308	1092	505596
Symbols	25	995	398	405960
Computers	250	250	720	360000
FaceAll	560	1690	131	294750
FacesUCR	200	2050	131	294750
WordSynonyms	267	638	270	244350
Earthquakes	322	139	512	236032
CricketX	390	390	300	234000
CricketY	390	390	300	234000
CricketZ	390	390	300	234000
Worms	181	77	900	232200
WormsTwoClass	181	77	900	232200
Strawberry	613	370	235	231005
PhalangesOutlinesCorrect	1800	858	80	212640
OSULeaf	200	242	427	188734
SwedishLeaf	500	625	128	144000
Adiac	390	391	176	137456
ECGFiveDays	23	861	136	120224
CBF	30	900	128	119040
MedicalImages	381	760	99	112959
DiatomSizeReduction	16	306	345	111090
MoteStrain	20	1252	84	106848
ShapeletSim	20	180	500	100000
TwoLeadECG	23	1139	82	95284
Ham	109	105	431	92234
ToeSegmentation1	40	228	277	74236
MiddlePhalanxOutlineCorrect	600	291	80	71280
ProximalPhalanxOutlineCorrect	600	291	80	71280
DistalPhalanxOutlineCorrect	600	276	80	70080
Car	60	60	577	69240
Herring	64	64	512	65536
ToeSegmentation2	36	130	343	56938
Trace	100	100	275	55000
Meat	60	60	448	53760
ArrowHead	36	175	251	52961
ProximalPhalanxOutlineAgeGroup	400	205	80	48400
ProximalPhalanxTW	400	205	80	48400
MiddlePhalanxOutlineAgeGroup	400	154	80	44320
MiddlePhalanxTW	399	154	80	44240
DistalPhalanxOutlineAgeGroup	400	139	80	43120
DistalPhalanxTW	400	139	80	43120
FaceFour	24	88	350	39200
OliveOil	30	30	570	34200
Plane	105	105	144	30240
GunPoint	50	150	150	30000
Beef	30	30	470	28200
ItalyPowerDemand	67	1029	24	26304
Wine	57	54	234	25974
BeetleFly	20	20	512	20480
BirdChicken	20	20	512	20480
ECG200	100	100	96	19200
Coffee	28	28	286	16016
